created_at,username,gamemode,rank,points
2026-03-11T14:00:00Z,JUSTYDANI,DiaSMP,HT5,2
2026-03-11T14:00:00Z,Masgara,DiaSMP,HT5,2
2026-03-11T14:00:00Z,Matheus_Adelee,DiaSMP,HT5,2
2026-03-11T14:00:00Z,KorikPlays,DiaSMP,LT4,3
2026-03-11T14:00:00Z,Gusztavo66,DiaSMP,HT4,4
2026-03-11T14:00:00Z,Ben21YT,OGVanilla,LT3,6
2026-03-11T14:00:00Z,NeonGamer322,OGVanilla,HT4,4
2026-03-11T14:00:00Z,Xqvpandaking,OGVanilla,HT4,4
2026-03-11T14:00:00Z,1Disrrpt,OGVanilla,LT4,3
2026-03-11T14:00:00Z,Koni0722,OGVanilla,HT5,2
2026-03-11T14:00:00Z,Masgara,OGVanilla,HT5,2
2026-03-11T14:00:00Z,Krisionyt,Sword,HT4,4
2026-03-11T14:00:00Z,AndowiTheGoat67,Sword,LT3,6
2026-03-11T14:00:00Z,Andrisx969,Sword,HT4,4
2026-03-11T14:00:00Z,Phoenix_YTT,Sword,HT4,4
2026-03-11T14:00:00Z,OMBIHUN,Sword,LT4,3
2026-03-11T14:00:00Z,KorikPlays,Mace,LT4,3
2026-03-11T14:00:00Z,KorikPlays,Sword,HT5,2
2026-03-11T14:00:00Z,KorikPlays,Nethpot,LT5,1
2026-03-11T14:00:00Z,Gusztavo66,Nethpot,HT5,2
2026-03-11T14:00:00Z,Gusztavo66,Mace,HT5,2
2026-03-11T14:00:00Z,gusztavo66,Axe,HT5,2
2026-03-11T14:00:00Z,KorikPlays,Axe,LT5,1
2026-03-11T14:00:00Z,Nyxen2311,Axe,LT3,6
2026-03-11T14:00:00Z,Nyxen2311,Mace,LT4,3
2026-03-11T14:00:00Z,Nyxen2311,Creeper,LT3,6
2026-03-11T14:00:00Z,Nyxen2311,SMP,LT3,6
2026-03-11T14:00:00Z,Gusztavo66,Sword,LT4,3
2026-03-11T14:00:00Z,Gusztavo66,Creeper,LT4,3
2026-03-11T14:00:00Z,KorikPlays,Creeper,LT4,3
2026-03-11T14:00:00Z,Gusztavo66,Axe,HT5,2
2026-03-11T14:00:00Z,Andrisx969,Mace,HT5,2
2026-03-11T14:00:00Z,Jump_lrewxy,Sword,HT4,4
2026-03-11T14:00:00Z,OMBIHUN,Mace,HT4,4
